CodeMark,source_dir,target_dir,source_list_path,target_list_path,sample_size,num_runs,block_idx,batch_size,image_size,tau_threshold_percentile,seed_base,alpha,deterministic,permutation_test_iterations,latent_dim,test_types,run_type,run_idx,seed,avg_lanes_detected,images_in_sample,mmd_stat,mmd_p_value,mmd_shift_detected
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,18,149,0,0,1.4223158359527588e-05,0.39800000190734863,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,26,157,0,0,-7.924437522888184e-05,0.7730000019073486,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,11,142,0,0,-2.078711986541748e-05,0.527999997138977,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,31,162,0,0,8.925795555114746e-06,0.38999998569488525,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,13,144,0,0,-1.3135373592376709e-05,0.4779999852180481,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,2,133,0,0,1.815706491470337e-05,0.3700000047683716,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,30,161,0,0,4.617869853973389e-05,0.2939999997615814,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,16,147,0,0,-0.00011923909187316895,0.9200000166893005,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,27,158,0,0,-5.660206079483032e-05,0.7149999737739563,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,19,150,0,0,0.00013718008995056152,0.09099999815225601,True
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,9,140,0,0,1.0535120964050293e-05,0.4230000078678131,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,4,135,0,0,-3.653764724731445e-05,0.6060000061988831,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,15,146,0,0,-0.0001739412546157837,0.9760000109672546,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,20,151,0,0,-1.4744699001312256e-05,0.527999997138977,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,29,160,0,0,-2.6986002922058105e-05,0.5699999928474426,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,28,159,0,0,-5.885213613510132e-05,0.7070000171661377,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,32,163,0,0,-9.402632713317871e-06,0.4830000102519989,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,23,154,0,0,-0.00010214745998382568,0.8650000095367432,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,24,155,0,0,-0.00011871010065078735,0.9110000133514404,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,25,156,0,0,-0.00010988861322402954,0.8859999775886536,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,34,165,0,0,-2.1398067474365234e-05,0.5389999747276306,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,33,164,0,0,-0.00011494755744934082,0.906000018119812,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,35,166,0,0,3.7260353565216064e-05,0.2849999964237213,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,36,167,0,0,6.942451000213623e-05,0.21199999749660492,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,42,173,0,0,-9.103119373321533e-05,0.8399999737739563,False
4/11/2026,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,/home1/adoyle2025/Datasets/Datasets/Curvelanes/train/train.txt,1000,100,4,64,512,95.0,32,0.05,True,1000,128,"['MMD', 'MMD_Agg', 'Energy', 'BKS']",test_run,51,182,0,0,-2.3126602172851562e-05,0.5419999957084656,False
